n,sign,q,value,factors,prime,rough_squarefree_P2
1002,1,3,1004007,3*43*43*181,0,0
1002,1,5,1004009,29*89*389,0,0
1002,1,7,1004011,71*79*179,0,0
1002,1,11,1004015,5*157*1279,0,0
1002,1,13,1004017,7*19*7549,0,0
1002,1,17,1004021,227*4423,0,1
1002,1,19,1004023,691*1453,0,1
1002,1,23,1004027,1004027,1,1
1002,1,29,1004033,1004033,1,1
1002,1,31,1004035,5*200807,0,0
1002,1,37,1004041,101*9941,0,1
1002,1,41,1004045,5*7*28687,0,0
1002,1,43,1004047,11*97*941,0,0
1002,-1,3,1004001,3*334667,0,0
1002,-1,5,1003999,61*109*151,0,0
1002,-1,7,1003997,31*139*233,0,0
1002,-1,11,1003993,439*2287,0,1
1002,-1,13,1003991,677*1483,0,1
1002,-1,17,1003987,727*1381,0,1
1002,-1,19,1003985,5*200797,0,0
1002,-1,23,1003981,11*107*853,0,0
1002,-1,29,1003975,5*5*7*5737,0,0
1002,-1,31,1003973,23*43651,0,1
1002,-1,37,1003967,41*47*521,0,0
1002,-1,41,1003963,1003963,1,1
1002,-1,43,1003961,7*7*7*2927,0,0
1004,1,3,1008019,577*1747,0,1
1004,1,5,1008021,3*7*23*2087,0,0
1004,1,7,1008023,491*2053,0,1
1004,1,11,1008027,3*3*31*3613,0,0
1004,1,13,1008029,11*91639,0,1
1004,1,17,1008033,3*13*25847,0,0
1004,1,19,1008035,5*7*83*347,0,0
1004,1,23,1008039,3*193*1741,0,0
1004,1,29,1008045,3*3*3*3*5*19*131,0,0
1004,1,31,1008047,107*9421,0,1
1004,1,37,1008053,677*1489,0,1
1004,1,41,1008057,3*73*4603,0,0
1004,1,43,1008059,13*77543,0,1
1004,-1,3,1008013,1008013,1,1
1004,-1,5,1008011,29*34759,0,1
1004,-1,7,1008009,3*3*47*2383,0,0
1004,-1,11,1008005,5*449*449,0,0
1004,-1,13,1008003,3*277*1213,0,0
1004,-1,17,1007999,127*7937,0,1
1004,-1,19,1007997,3*335999,0,0
1004,-1,23,1007993,7*143999,0,1
1004,-1,29,1007987,71*14197,0,1
1004,-1,31,1007985,3*5*11*41*149,0,0
1004,-1,37,1007979,3*7*7*6857,0,0
1004,-1,41,1007975,5*5*23*1753,0,0
1004,-1,43,1007973,3*3*111997,0,0
1006,1,3,1012039,7*144577,0,1
1006,1,5,1012041,3*3*3*37483,0,0
1006,1,7,1012043,1012043,1,1
1006,1,11,1012047,3*337349,0,0
1006,1,13,1012049,1012049,1,1
1006,1,17,1012053,3*7*48193,0,0
1006,1,19,1012055,5*11*18401,0,0
1006,1,23,1012059,3*3*139*809,0,0
1006,1,29,1012065,3*5*109*619,0,0
1006,1,31,1012067,7*163*887,0,0
1006,1,37,1012073,19*53267,0,1
1006,1,41,1012077,3*3*11*10223,0,0
1006,1,43,1012079,1012079,1,1
1006,-1,3,1012033,11*92003,0,1
1006,-1,5,1012031,1012031,1,1
1006,-1,7,1012029,3*337343,0,0
1006,-1,11,1012025,5*5*7*5783,0,0
1006,-1,13,1012023,3*3*23*4889,0,0
1006,-1,17,1012019,83*89*137,0,0
1006,-1,19,1012017,3*337339,0,0
1006,-1,23,1012013,29*34897,0,1
1006,-1,29,1012007,1012007,1,1
1006,-1,31,1012005,3*3*5*43*523,0,0
1006,-1,37,1011999,3*73*4621,0,0
1006,-1,41,1011995,5*31*6529,0,0
1006,-1,43,1011993,3*17*19843,0,0
1008,1,3,1016067,3*13*26053,0,0
1008,1,5,1016069,1016069,1,1
1008,1,7,1016071,7*23*6311,0,0
1008,1,11,1016075,5*5*97*419,0,0
1008,1,13,1016077,61*16657,0,1
1008,1,17,1016081,11*71*1301,0,0
1008,1,19,1016083,1016083,1,1
1008,1,23,1016087,31*73*449,0,0
1008,1,29,1016093,13*47*1663,0,0
1008,1,31,1016095,5*103*1973,0,0
1008,1,37,1016101,19*53479,0,1
1008,1,41,1016105,5*203221,0,0
1008,1,43,1016107,17*59771,0,1
1008,-1,3,1016061,3*338687,0,0
1008,-1,5,1016059,11*92369,0,1
1008,-1,7,1016057,7*37*3923,0,0
1008,-1,11,1016053,1016053,1,1
1008,-1,13,1016051,1016051,1,1
1008,-1,17,1016047,43*23629,0,1
1008,-1,19,1016045,5*203209,0,0
1008,-1,23,1016041,13*78157,0,1
1008,-1,29,1016035,5*203207,0,0
1008,-1,31,1016033,1016033,1,1
1008,-1,37,1016027,1016027,1,1
1008,-1,41,1016023,1016023,1,1
1008,-1,43,1016021,41*24781,0,1
1010,1,3,1020103,7*61*2389,0,0
1010,1,5,1020105,3*3*5*22669,0,0
1010,1,7,1020107,11*92737,0,1
1010,1,11,1020111,3*340037,0,0
1010,1,13,1020113,1020113,1,1
1010,1,17,1020117,3*7*31*1567,0,0
1010,1,19,1020119,17*23*2609,0,0
1010,1,23,1020123,3*3*13*8719,0,0
1010,1,29,1020129,3*11*19*1627,0,0
1010,1,31,1020131,7*7*109*191,0,0
1010,1,37,1020137,1020137,1,1
1010,1,41,1020141,3*3*3*37783,0,0
1010,1,43,1020143,1020143,1,1
1010,-1,3,1020097,13*131*599,0,0
1010,-1,5,1020095,5*204019,0,0
1010,-1,7,1020093,3*340031,0,0
1010,-1,11,1020089,7*43*3389,0,0
1010,-1,13,1020087,3*3*3*37781,0,0
1010,-1,17,1020083,421*2423,0,1
1010,-1,19,1020081,3*340027,0,0
1010,-1,23,1020077,1020077,1,1
1010,-1,29,1020071,13*78467,0,1
1010,-1,31,1020069,3*3*113341,0,0
1010,-1,37,1020063,3*11*30911,0,0
1010,-1,41,1020059,1020059,1,1
1010,-1,43,1020057,3*71*4789,0,0
1012,1,3,1024147,31*33037,0,1
1012,1,5,1024149,3*7*7*6967,0,0
1012,1,7,1024151,1024151,1,1
1012,1,11,1024155,3*3*5*11*2069,0,0
1012,1,13,1024157,19*19*2837,0,0
1012,1,17,1024161,3*487*701,0,0
1012,1,19,1024163,7*146309,0,1
1012,1,23,1024167,3*23*14843,0,0
1012,1,29,1024173,3*3*113797,0,0
1012,1,31,1024175,5*5*71*577,0,0
1012,1,37,1024181,59*17359,0,1
1012,1,41,1024185,3*5*68279,0,0
1012,1,43,1024187,439*2333,0,1
1012,-1,3,1024141,937*1093,0,1
1012,-1,5,1024139,41*24979,0,1
